TYPE;Model;I_max_A;Mass_g;V_max_V;Power_max_W
JIVE;Jive 80+ LV ;80;84;22.2;1776
JIVE;Jive 100+ LV ;100;92;22.2;2220
JIVE;FAI Jive 150+ LV ;150;140;18.5;2775
JIVE;Jive 60+ HV ;60;84;44.4;2664
JIVE;Jive 80+ HV ;80;84;44.4;3552
JIVE;Powerkive 120+ HV ;120;140;44.4;5328
KOSMIK;Kosmik 160+ HV ;160;200;51.8;8288
KOSMIK;Kosmik 200+ HV ;200;200;51.8;10360
YGE;YGE 7 S ;7;0.7;7.4;52
YGE;YGE 8 S ;8;4.9;11.1;89
YGE;YGE 12 S ;12;6;11.1;133
YGE;YGE 18 ;18;14;14.8;266
YGE;YGE 30 ;30;21;14.8;444
YGE;YGE 40 ;40;35;22.2;888
YGE;YGE 60 ;60;35;22.2;1332
YGE;YGE 80 ;80;55;22.2;1776
YGE;YGE 100 ;100;69;22.2;2220
YGE;YGE 120 ;120;71;22.2;2664
YGE;YGE 160 FAI ;160;79;22.2;3552
YGE;YGE 60 HV ;60;49;44.4;2664
YGE;YGE 90 HV ;90;79;44.4;3996
YGE;YGE 150 HV FAI ;150;89;44.4;6660
YGE;YGE 200 HV FAI ;200;119;44.4;8880
YGE;YGE 120 HV ;120;119;51.8;6216
YGE;YGE 160 HV ;160;156;51.8;8288
SPIN OPTO;MasterSPIN 11 ;11;12;14.8;163
SPIN OPTO;MasterSPIN 22 ;22;18;14.8;326
SPIN OPTO;MasterSPIN 33 ;33;30;18.5;611
SPIN OPTO;MasterSPIN 44 ;44;40;22.2;977
SPIN OPTO;MasterSPIN 55 ;55;56;25.9;1425
SPIN OPTO;MasterSPIN 66 ;66;50;22.2;1465
SPIN OPTO;MasterSPIN 70 Opto ;70;50;22.2;1554
SPIN OPTO;MasterSPIN 48 Opto ;48;45;37;1776
SPIN OPTO;MasterSPIN 75 0pto ;75;55;37;2775
SPIN OPTO;MasterSPIN 77 0pto ;77;105;44.4;3419
SPIN OPTO;MasterSPIN 99 0pto ;99;105;44.4;4396
SPIN OPTO;MasterSPIN 125 Opto ;125;160;44.4;5550
SPIN OPTO;MasterSPIN 170 Opto ;170;270;51.8;8806
SPIN OPTO;MasterSPIN 220 Opto ;220;460;51.8;11396
SPIN OPTO;SPIN 11 ;11;12;14.8;163
SPIN OPTO;SPIN 22 ;22;26;14.8;326
SPIN OPTO;SPIN 33 ;33;32;18.5;611
SPIN OPTO;SPIN 44 ;44;44;22.2;977
SPIN OPTO;SPIN 55 ;55;60;29.6;1628
SPIN OPTO;SPIN 66 ;70;56;22.2;1554
SPIN OPTO;SPIN 44 OPTO ;44;35;22.2;977
SPIN OPTO;SPIN 66 OPTO ;70;45;22.2;1554
SPIN OPTO;SPIN 48 OPTO ;48;45;37;1776
SPIN OPTO;SPIN 75 OPTO ;75;55;37;2775
SPIN OPTO;SPIN 77 OPTO ;77;110;44.4;3419
SPIN OPTO;SPIN 99 OPTO ;90;110;44.4;3996
SPIN OPTO;SPIN 125 OPTO ;125;120;44.4;5550
SPIN OPTO;SPIN 200 OPTO ;170;326;51.8;8806
SPIN OPTO;SPIN 300 OPTO ;220;360;51.8;11396
TURNIGY;Turnigy Monster 2000 ;200;335;44.4;8880
TURNIGY;Turnigy K-Force ;150;169;22.2;3330
TURNIGY;Turnigy K-Force ;120;169;44.4;5328
TURNIGY;Turnigy dlux 80HV ;80;153;44.4;3552
TURNIGY;Turnigy Superbrain ;100;109;44.4;4440
TURNIGY;Turnigy Superbrain ;60;69;22.2;1332
TURNIGY;Turnigy Superbrain ;80;69;22.2;1776
TURNIGY;Turnigy Superbrain ;45;68;22.2;999
TURNIGY;Turnigy K_Force 70HV ;70;115;44.4;3108
TURNIGY;Turnigy K-Force 100 ;100;115;22.2;2220
TURNIGY;Turnigy K-Force 40 ;40;38;22.2;888
TURNIGY;Turnigy dlux 55 ;55;110;22.2;1221
TURNIGY;Turnigy dlux 70 ;70;110;22.2;1554
TURNIGY;Turnigy Plush 80 ;80;120;22.2;1776
TURNIGY;Turnigy Plush 40 ;40;79;22.2;888
TURNIGY;Turnigy Plush 60 ;60;75;22.2;1332
TURNIGY;Turnigy Plush 30 ;30;55;14.8;444
TURNIGY;Turnigy Trust 70 ;70;79;22.2;1554
TURNIGY;Turnigy Trust 55 ;55;79;22.2;1221
TURNIGY;Turnigy Trust 45 ;45;69;22.2;999
